127.0.0.1 - - [16/Nov/2016:21:37:44 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:37:48 +0530] "GET /patientexplorer/patientdata.jsp HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:37:57 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6634
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:38:06 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 500 6634
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:38:13 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6634
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:38:59 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6582
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:39:10 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6582
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:39:28 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6630
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:39:35 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6630
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:40:04 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6634
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:40:10 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6634
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:40:31 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6643
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:40:37 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6643
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:41:32 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6643
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:41:54 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:42:10 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:42:27 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:42:40 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6613
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:43:01 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6641
0:0:0:0:0:0:0:1 - - [16/Nov/2016:21:43:22 +0530] "POST /patientexplorer/patientservlet HTTP/1.1" 200 6629
